Train_Size,Window_Size,Val_Size,Epochs,LearningRate,Mean,Std,Threshold,TPR(%),FPR(%)
13000,5,1000,5,0.001,2.2751882,4.2337294,14.976377,100.0,3.53628023352794
13000,5,1000,5,0.0005,2.3158817,4.519744,15.8751135,100.0,3.386155129274395
13000,5,1000,5,0.0001,2.244158,3.768586,13.549915,100.0,3.269391159299416
13000,5,1000,10,0.001,2.5365224,5.6826434,19.584452,100.0,3.386155129274395
13000,5,1000,10,0.0005,2.2259874,3.759519,13.504544,100.0,4.053377814845705
13000,5,1000,10,0.0001,2.1810567,3.545801,12.8184595,100.0,3.269391159299416
13000,5,1000,20,0.001,2.5408971,5.771794,19.85628,100.0,3.552960800667223
13000,5,1000,20,0.0005,2.159802,3.6117773,12.995134,100.0,4.053377814845705
13000,5,1000,20,0.0001,2.238962,3.834639,13.74288,100.0,3.386155129274395
13000,5,2000,5,0.001,2.2628443,4.871366,16.876942,100.0,3.3633633633633635
13000,5,2000,5,0.0005,2.0740962,3.443494,12.404579,100.0,3.5035035035035036
13000,5,2000,5,0.0001,2.0993946,3.4879382,12.56321,100.0,3.2432432432432434
13000,5,2000,10,0.001,2.0545921,3.6463432,12.993622,100.0,3.7637637637637638
13000,5,2000,10,0.0005,2.2374318,4.43725,15.549182,100.0,3.3633633633633635
13000,5,2000,10,0.0001,2.1595008,3.9786944,14.095584,100.0,3.2432432432432434
13000,5,2000,20,0.001,2.2535589,4.9998226,17.253027,100.0,3.5835835835835836
13000,5,2000,20,0.0005,2.1422966,3.918889,13.898964,100.0,4.024024024024024
13000,5,2000,20,0.0001,2.0615103,3.4976487,12.554457,100.0,4.024024024024024
13000,5,3000,5,0.001,2.2558143,4.7003407,16.356836,100.0,3.254067584480601
13000,5,3000,5,0.0005,2.1944075,3.8656363,13.791316,100.0,3.9299123904881097
13000,5,3000,5,0.0001,2.3696034,4.937767,17.182905,100.0,3.128911138923655
13000,5,3000,10,0.001,1.9757624,3.3107338,11.907964,100.0,3.6545682102628283
13000,5,3000,10,0.0005,2.0315552,3.5739746,12.753479,100.0,3.629536921151439
13000,5,3000,10,0.0001,2.2172632,4.1874046,14.779477,100.0,3.128911138923655
13000,5,3000,20,0.001,3.0349069,9.458024,31.40898,100.0,3.2290362953692116
13000,5,3000,20,0.0005,2.4677868,6.1273365,20.849796,100.0,3.2290362953692116
13000,5,3000,20,0.0001,2.1650388,4.2081294,14.789427,100.0,3.254067584480601
